pt = [543, 1359, 1]
pt = [543, 1400, 1]
pt = [543, 1407, 1]
pt = [543, 1408, 1]
pt = [543, 1411, 1]
pt = [543, 1412, 1]
pt = [543, 1416, 1]
pt = [543, 1417, 1]
pt = [543, 1423, 1]
pt = [543, 1427, 1]
pt = [543, 1559, 1]
pt = [543, 1560, 1]
pt = [543, 1561, 1]
pt = [543, 1562, 1]
pt = [543, 2052, 1]
pt = [543, 2053, 1]
pt = [543, 2054, 1]
pt = [543, 2200, 1]
pt = [543, 2264, 1]
pt = [543, 2657, 1]
pt = [543, 2658, 1]
pt = [543, 2790, 1]
pt = [543, 2791, 1]
pt = [543, 2797, 1]
pt = [543, 2798, 1]
pt = [543, 2807, 1]
pt = [543, 2808, 1]
pt = [543, 2809, 1]
pt = [543, 2810, 1]
pt = [543, 2811, 1]
pt = [543, 2812, 1]
pt = [543, 2813, 1]
pt = [543, 3015, 1]
pt = [543, 3016, 1]
pt = [543, 3093, 1]
pt = [543, 3109, 1]
pt = [543, 3110, 1]
pt = [543, 3112, 1]
pt = [543, 3113, 1]
pt = [543, 3249, 1]
pt = [543, 3250, 1]
pt = [544, 1150, 1]
pt = [544, 1206, 1]
pt = [544, 1214, 1]
pt = [544, 1215, 1]
pt = [544, 1216, 1]
pt = [544, 1270, 1]
pt = [544, 1271, 1]
pt = [544, 1272, 1]
pt = [544, 1292, 1]
pt = [544, 1340, 1]
pt = [544, 1419, 1]
pt = [544, 1482, 1]
pt = [544, 1483, 1]
pt = [544, 1484, 1]
pt = [544, 1485, 1]
pt = [544, 1486, 1]
pt = [544, 1491, 1]
pt = [544, 1492, 1]
pt = [544, 1560, 1]
pt = [544, 1561, 1]
pt = [544, 2038, 1]
pt = [544, 2200, 1]
pt = [544, 2806, 1]
pt = [544, 2814, 1]
pt = [544, 2817, 1]
pt = [544, 2818, 1]
pt = [544, 3015, 1]
pt = [544, 3089, 1]
pt = [544, 3299, 1]
pt = [545, 1149, 1]
pt = [545, 1204, 1]
pt = [545, 1217, 1]
pt = [545, 1293, 1]
pt = [545, 1340, 1]
pt = [545, 1343, 1]
